"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893450136283423185","Sat Feb 22 23:57:45 +0000 2025","15","sbg manusia newbie yg baru nyemplung ke dunia accounting gw bisa bilang bahwa auditor ber integritas itu masih banyak. tapi yg tidak kita ketahui adalah apakah auditor yg dipilih utk mengaudit danantara betul betul berintegritas? tanpa tekanan eksternal?","1893450136283423185","","","in","","0","0","1","https://x.com/undefined/status/1893450136283423185","1254408725978181632",
"1893257833379934495","Sat Feb 22 23:55:17 +0000 2025","6","@CNNIndonesia @CNNIndonesia makanya beritain kabarkan yg benar yg objektif transparan tanpa memihak ke Rezim bilangin tuh Aki-Aki si Kakek Tua Anak Singkong Chairul Tanjung punya media yg bener jgn PRO ke Rezim Laknat Bangsat Omon-Omon Efisiensi Danantara... https://t.co/Lzn0OEhWkb","1893449515895505193","","CNNIndonesia","in","","1","1","2","https://x.com/undefined/status/1893449515895505193","2341937407",
"1893006559950643469","Sat Feb 22 23:53:30 +0000 2025","0","@tanyarlfes Hati hati ","1893449065821528290","","tanyarlfes","in","","0","0","0","https://x.com/undefined/status/1893449065821528290","1562950188343255040",
"1893234274725437880","Sat Feb 22 23:52:30 +0000 2025","0","@democrazymedia Kami tidak peduli yang di dalam garis pantai ini punya siapa. Kalau memang di dalam garis pantai ada SHGB pemilik sahnya Kalau memang benar ya tidak dibatalkan. Kalau yang gak benar semua dibatalkan pungkas Nusron.","1893448812921778493","","democrazymedia","in","","0","0","0","https://x.com/undefined/status/1893448812921778493","1562950188343255040",
"1893447989391499375","Sat Feb 22 23:49:13 +0000 2025","0","Sebelum Kabur Aja Dulu Coba Tiktok Affiliate ( A Thread ) Tiktok affiliate kalo di seriusin Gurih Juga. Ini perjalanan 3 Bulan di tiktok affiliate. Jadi penghasilan tambahan. Grup belajar 19ribuan &gt;&gt; https://t.co/umus6F1IvI #sukatani #KaburAjaDulu #IndonesiaGelap #Danantara https://t.co/GwPAYDNMBd","1893447989391499375","https://pbs.twimg.com/media/Gkbg6GkXcAErb-N.jpg","","in","","0","1","0","https://x.com/undefined/status/1893447989391499375","1620380283454509056",
"1859367739334476186","Sat Feb 22 23:48:51 +0000 2025","2","@KoranBUMN @KemenBUMN @KemenPU @kementan @erickthohir @AryaSinulingga @Danantara_ri DANANTARA ditujukan untuk: #IYC2025 meningkatkan Kerjasama Nasional: BUMN Swasta &amp; #Cooperatives berdasarkan Pancasila &amp; UUD 1945 termasuk Pasal 33 &amp; 34 Case Study: New Java Bali Systems #WIPO: as well as International Cooperation @IECStandards @isostandards @ITU https://t.co/Uiky1GJFu6","1893447895065731304","https://pbs.twimg.com/ext_tw_video_thumb/1893447827046703104/pu/img/R1op4VIekPBdJ9oz.jpg","KoranBUMN","in","","0","0","0","https://x.com/undefined/status/1893447895065731304","212041664",
"1893447743559082027","Sat Feb 22 23:48:15 +0000 2025","16","Mau tidak mau harus mengakui bahwa bangsa ini tidak kekurangan orang pintar tapi orang jujur Danantara bakal kelola duit gede makanya butuh tim pakar exs napi koruptor. https://t.co/L9wgDpmx4L","1893447743559082027","https://pbs.twimg.com/media/GkbgsF8bIAAc9Fm.jpg","","in","","0","5","7","https://x.com/undefined/status/1893447743559082027","1351138416088510467",
"1893103228939628556","Sat Feb 22 23:41:30 +0000 2025","0","@innovacommunity Engak rakyat enggak pejabat sama saja Indonesia (emas","1893446044022906951","","innovacommunity","in","","0","0","0","https://x.com/undefined/status/1893446044022906951","1562950188343255040",
"1893445180159558125","Sat Feb 22 23:38:04 +0000 2025","9","Klo membaca ulasan bu Sik Tifa.. Apalagi mmbaca PT Inonesia TBK = DANANTARA Mana lg kabarnya smg tak benar siJokowi makhluk Terkorup dunia versi OCCRP sbgai Pengawas serta si luhut/ponakannya berada ddlmnya Tanya saya sederhana NEGARA INDONESIA msh adakan? #JokowiLuhutMusuhRakyat","1893445180159558125","","","in","","0","1","4","https://x.com/undefined/status/1893445180159558125","1054217592645140480",
"1892843438443548937","Sat Feb 22 23:35:59 +0000 2025","1","@Gunawan75_ 1 kata ; LEBAY program efisiensi ternyata ; Kabinet gemoy Retret rombongan pake APBN Danantara Pentas seni dewa AD And soon2lah Sesuai dg statementnya the paradoks ind alias omon-omon","1893444657687957671","","Gunawan75_","in","","0","0","1","https://x.com/undefined/status/1893444657687957671","2433258644",
